날짜,일합계
2024-01-01 00:00:00,2734.0
2024-01-02 00:00:00,632.0
2024-01-03 00:00:00,347.0
2024-01-04 00:00:00,494.0
2024-01-05 00:00:00,640.0
2024-01-06 00:00:00,1944.0
2024-01-07 00:00:00,724.0
2024-01-08 00:00:00,246.0
2024-01-09 00:00:00,205.0
2024-01-10 00:00:00,354.0
2024-01-11 00:00:00,379.0
2024-01-12 00:00:00,1087.0
2024-01-13 00:00:00,2411.0
2024-01-14 00:00:00,631.0
2024-01-15 00:00:00,368.0
2024-01-16 00:00:00,437.0
2024-01-17 00:00:00,302.0
2024-01-18 00:00:00,625.0
2024-01-19 00:00:00,832.0
2024-01-20 00:00:00,1506.0
2024-01-21 00:00:00,1716.0
2024-01-22 00:00:00,187.0
2024-01-23 00:00:00,2001.0
2024-01-24 00:00:00,191.0
2024-01-25 00:00:00,247.0
2024-01-26 00:00:00,440.0
2024-01-27 00:00:00,2106.0
2024-01-28 00:00:00,2323.0
2024-01-29 00:00:00,572.0
2024-01-30 00:00:00,620.0
2024-01-31 00:00:00,739.0
2024-02-01 00:00:00,635.0
2024-02-02 00:00:00,596.0
2024-02-03 00:00:00,3224.0
2024-02-04 00:00:00,5535.0
2024-02-05 00:00:00,154.0
2024-02-06 00:00:00,398.0
2024-02-07 00:00:00,410.0
2024-02-08 00:00:00,609.0
2024-02-09 00:00:00,2894.0
2024-02-10 00:00:00,4199.0
2024-02-11 00:00:00,4817.0
2024-02-12 00:00:00,6599.0
2024-02-13 00:00:00,1671.0
2024-02-14 00:00:00,1433.0
2024-02-15 00:00:00,160.0
2024-02-16 00:00:00,1010.0
2024-02-17 00:00:00,7529.0
2024-02-18 00:00:00,5695.0
2024-02-19 00:00:00,253.0
2024-02-20 00:00:00,1393.0
2024-02-21 00:00:00,166.0
2024-02-22 00:00:00,654.0
2024-02-23 00:00:00,826.0
2024-02-24 00:00:00,3715.0
2024-02-25 00:00:00,2761.0
2024-02-26 00:00:00,1950.0
2024-02-27 00:00:00,3325.0
2024-02-28 00:00:00,2627.0
2024-02-29 00:00:00,2873.0
2024-03-01 00:00:00,2894.0
2024-03-02 00:00:00,2409.0
2024-03-03 00:00:00,3617.0
2024-03-04 00:00:00,880.0
2024-03-05 00:00:00,444.0
2024-03-06 00:00:00,759.0
2024-03-07 00:00:00,526.0
2024-03-08 00:00:00,718.0
2024-03-09 00:00:00,4528.0
2024-03-10 00:00:00,7941.0
