,덕수궁
0,3575
1,4297
2,0
3,4122
4,4713
5,4811
6,4954
7,5841
8,4342
9,0
10,4545
11,3588
12,3498
13,4484
14,5575
15,4245
16,0
17,4790
18,4019
19,4892
20,5000
21,6932
22,5057
23,0
24,3642
25,6629
26,4723
27,4644
28,4307
29,4836
30,4253
31,6506
32,5177
33,0
34,4125
35,4073
36,3277
37,0
38,5638
39,5785
40,6841
41,6014
42,8336
43,5118
44,0
45,3886
46,4241
47,3866
48,6091
49,5898
50,3807
51,0
52,4701
53,5542
54,5265
55,7904
56,6062
57,6291
58,0
59,8266
60,3552
61,4839
62,4547
63,3605
64,3906
65,0
66,5464
67,4820
68,5073
69,5559
70,5649
71,2072
72,0
73,6640
74,5789
75,5564
76,3947
77,2649
78,4082
79,0
80,6214
81,4137
82,5062
83,6013
84,5509
85,6622
86,0
87,7392
88,8841
89,7649
90,8639
91,10600
92,9017
93,0
94,9732
95,10144
96,11118
97,13279
98,15302
99,12701
100,0
101,9357
102,5242
103,6328
104,9653
105,12670
106,9110
107,0
108,9499
109,7974
110,8690
111,5659
112,11338
113,6818
114,11
115,7215
116,12309
117,8529
118,8475
119,11181
120,7983
121,11
122,10058
123,10898
124,18960
125,12293
126,10626
127,5319
128,29
129,10133
130,9873
131,8728
132,10214
133,12790
134,9925
135,3352
136,8659
137,8902
138,8993
139,10462
140,13402
141,9021
142,7
143,8303
144,10395
145,9259
146,9516
147,10561
148,7001
149,0
150,8835
151,7751
152,7543
153,7665
154,11629
155,11403
156,6394
157,24
158,8004
159,6074
160,7950
161,9617
162,6783
163,40
164,6927
165,3844
166,7141
167,7946
168,10425
169,7952
170,0
171,5932
172,6539
173,3260
174,8328
175,9326
176,6118
177,0
178,5447
179,5041
180,1949
181,6466
182,7085
183,4543
184,0
185,5518
186,4307
187,4388
188,6040
189,7388
190,4246
191,0
192,7108
193,3654
194,6801
195,6879
196,6701
197,6232
198,0
199,5934
200,6287
201,7110
202,6670
203,7947
204,6994
205,35
206,5780
207,9365
208,6285
209,6828
210,6542
211,4844
212,0
213,7171
214,7764
215,7943
216,8016
217,8783
218,7874
219,15
220,1617
221,6747
222,5793
223,6294
224,6280
225,6169
226,5192
227,0
228,5598
229,7402
230,3815
231,6759
232,4796
233,0
234,6252
235,6946
236,4116
237,7415
238,10808
239,8207
240,0
241,2436
242,8112
243,7164
244,7657
245,10515
246,2646
247,0
248,7435
249,7972
250,7679
251,12480
252,18593
253,17371
254,12767
255,11
256,7953
257,7511
258,8701
259,10852
260,6765
261,0
262,10127
263,9455
264,9439
265,10348
266,20676
267,10772
268,26
269,11234
270,15959
271,9287
272,11417
273,16600
274,11807
275,4157
276,5391
277,10948
278,10646
279,12409
280,19674
281,5790
282,5933
283,0
284,11683
285,10751
286,12832
287,17705
288,12216
289,0
290,13350
291,12064
292,12625
293,12340
294,22991
295,16659
296,41
297,15438
298,22020
299,14862
300,19233
301,28076
302,19367
303,0
304,16040
305,14398
306,12974
307,13912
308,23173
309,18664
310,0
311,15192
312,13553
313,13443
314,15992
315,11360
316,14205
317,25
318,11642
319,11494
320,12527
321,13335
322,17298
323,13747
324,0
325,10953
326,10770
327,11542
328,13029
329,12570
330,9670
331,0
332,7599
333,5835
334,4679
335,6295
336,9186
337,4645
338,0
339,5956
340,6416
341,7972
342,7990
343,10291
344,6898
345,0
346,6540
347,3831
348,4463
349,4941
350,5699
351,3439
352,0
353,6265
354,5859
355,3882
356,2825
357,5269
358,5511
359,0
360,7875
361,7531
362,6577
363,7072
364,7328
