Category: All categories

Week,종묘: (South Korea)
2022-11-27,68
2022-12-04,70
2022-12-11,71
2022-12-18,52
2022-12-25,45
2023-01-01,34
2023-01-08,49
2023-01-15,48
2023-01-22,55
2023-01-29,56
2023-02-05,63
2023-02-12,56
2023-02-19,59
2023-02-26,65
2023-03-05,81
2023-03-12,85
2023-03-19,87
2023-03-26,86
2023-04-02,92
2023-04-09,90
2023-04-16,100
2023-04-23,90
2023-04-30,96
2023-05-07,95
2023-05-14,76
2023-05-21,67
2023-05-28,51
2023-06-04,62
2023-06-11,79
2023-06-18,69
2023-06-25,41
2023-07-02,47
2023-07-09,57
2023-07-16,37
2023-07-23,36
2023-07-30,33
2023-08-06,32
2023-08-13,38
2023-08-20,34
2023-08-27,59
2023-09-03,53
2023-09-10,53
2023-09-17,61
2023-09-24,59
2023-10-01,62
2023-10-08,48
2023-10-15,64
2023-10-22,73
2023-10-29,76
2023-11-05,76
2023-11-12,64
2023-11-19,74
2023-11-26,57
2023-12-03,45
2023-12-10,49
2023-12-17,42
2023-12-24,31
2023-12-31,38
2024-01-07,38
2024-01-14,39
2024-01-21,34
2024-01-28,46
2024-02-04,37
2024-02-11,43
2024-02-18,41
2024-02-25,42
2024-03-03,60
2024-03-10,57
2024-03-17,76
2024-03-24,68
2024-03-31,75
2024-04-07,65
2024-04-14,74
2024-04-21,70
2024-04-28,94
2024-05-05,77
2024-05-12,100
2024-05-19,79
2024-05-26,67
2024-06-02,66
2024-06-09,62
2024-06-16,66
2024-06-23,48
2024-06-30,45
2024-07-07,60
2024-07-14,44
2024-07-21,35
2024-07-28,34
2024-08-04,39
2024-08-11,41
2024-08-18,37
2024-08-25,51
2024-09-01,46
2024-09-08,58
2024-09-15,56
2024-09-22,56
2024-09-29,49
2024-10-06,66
2024-10-13,66
2024-10-20,72
2024-10-27,62
2024-11-03,60
2024-11-10,58
2024-11-17,71
2024-11-24,51
2024-12-01,53
2024-12-08,73
2024-12-15,50
2024-12-22,51
2024-12-29,33
